# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
transgenic rescue experiment evidence used in manual assertion	ECO:0006092	A type of functional complementation evidence that is used in a manual assertion that is used in manual assertion resulting from the introduction of a transgene to prevent, or "rescue" an organism from a condition.	
transient rescue experiment evidence used in manual assertion	ECO:0006093	A type of transient rescue experiment evidence that is used in a manual assertion.	
suppressor/enhancer interaction phenotypic evidence used in manual assertion	ECO:0006094	A type of suppressor/enhancer interaction phenotypic evidence that is used in a manual assertion.	'traditional' genetic interactions (e.g. suppressors, synthetic lethals)|suppressor/enhancer interaction evidence used in manual assertion
double mutant phenotypic evidence used in manual assertion	ECO:0006095	A type of double mutant phenotypic evidence that is used in a manual assertion.	double mutant analysis|double mutant phenotype evidence used in manual assertion
epistatic interaction phenotypic evidence used in manual assertion	ECO:0006096	A type of epistatic interaction phenotypic evidence that is used in a manual assertion.	epistatic interaction evidence used in manual assertion|epistatic interactions
functional complementation in heterologous system evidence used in manual assertion	ECO:0006097	A type of functional complementation evidence that is used in a manual assertion that is based on the insertion of a wild-type copy of a gene into a heterologous organism, with the mutation occurring in a homologous gene.	functional complementation in heterologous system
temperature-sensitive mutant phenotypic evidence	ECO:0006098	A type of mutant phenotype evidence resulting from altered gene function at higher temperatures.	temperature-sensitive mutant phenotype evidence|Ts mutation evidence
temperature-sensitive mutant phenotypic evidence used in manual assertion	ECO:0006099	A type of temperature-sensitive mutant phenotypic evidence that is used in a manual assertion.	temperature-sensitive mutant phenotype evidence used in manual assertion|Ts mutation evidence
recessive mutant phenotype evidence	ECO:0006100	A type of mutant phenotype evidence based on the analysis of a mutation which, in diploid organisms, must be present in both alleles for a phenotype to manifest itself.	
recessive mutant phenotype evidence used in manual assertion	ECO:0006101	A type of mutant phenotype evidence that is used in a manual assertion based on the analysis of a mutation which, in diploid organisms, must be present in both alleles for a phenotype to manifest itself.	
quantum mechanics/molecular mechanics simulation evidence	ECO:0006135	A type of computational evidence where the active site of the molecular system is described with highly accurate quantum theory, while the contribution of the rest of the system is described with molecular mechanical force field.	QM/MM evidence
quantum mechanics/molecular mechanics simulation evidence used in automatic assertion	ECO:0006136	A type of quantum mechanics/molecular mechanics simulation evidence that is used in an automatic assertion.	
quantum mechanics/molecular mechanics simulation evidence used in manual assertion	ECO:0006137	A type of quantum mechanics/molecular mechanics simulation evidence that is used in manual assertion.	
molecular mechanics simulation evidence	ECO:0006138	A type of computational evidence where the energy of a molecular system is predicted as a function of its conformation.	MM evidence
molecular mechanics simulation evidence used in automatic assertion	ECO:0006139	A type of molecular mechanics simulation evidence that is used in an automatic assertion.	
molecular mechanics simulation evidence used in manual assertion	ECO:0006140	A type of molecular mechanics simulation evidence that is used in manual assertion.	
quantum mechanics simulation evidence	ECO:0006141	A type of computational evidence where the behavior of matter and light on the atomic and subatomic scale is described.	QM evidence|quantum physics evidence|quantum theory evidence
quantum mechanics simulation evidence used in automatic assertion	ECO:0006142	A type of quantum mechanics simulation evidence that is used in an automatic assertion.	
quantum mechanics simulation evidence used in manual assertion	ECO:0006143	A type of quantum mechanics simulation evidence that is used in manual assertion.	
density functional theory simulation evidence	ECO:0006144	A type of quantum mechanics simulation evidence that results from the calculation of ground-state electronic structure of atoms, molecules and solid state materials.	DFT evidence
density functional theory simulation evidence used in manual assertion	ECO:0006145	A type of density functional theory simulation evidence that is used in manual assertion.	
density functional theory simulation evidence used in automatic assertion	ECO:0006146	A type of density functional theory simulation evidence that is used in an automatic assertion.	
high throughput mutant phenotypic evidence	ECO:0007000	A type of high throughput evidence derived from high throughput analysis of differences in alleles of a corresponding gene.	high throughput mutant phenotype evidence
high throughput mutant phenotypic evidence used in manual assertion	ECO:0007001	A type of high throughput mutant phenotypic evidence that is used in a manual assertion.	high throughput mutant phenotype evidence used in manual assertion|HMP|inferred from high throughput mutant phenotype
high throughput genetic interaction phenotypic evidence	ECO:0007002	A type of high throughput evidence resulting from the high throughput analysis of the effect that a given gene has on another gene or genes, and products.	high throughput genetic interaction evidence
high throughput genetic interaction phenotypic evidence used in manual assertion	ECO:0007003	A type of high throughput genetic interaction phenotypic evidence that is used in a manual assertion.	HGI|high throughput genetic interaction evidence used in manual assertion|inferred from high throughput genetic interaction
high throughput direct assay evidence	ECO:0007004	A type of high throughput evidence derived from the high throughput direct measurement of some aspect of a biological feature.	
high throughput direct assay evidence used in manual assertion	ECO:0007005	A type of high throughput evidence that is used in a manual assertion derived from the high throughput direct measurement of some aspect of a biological feature.	HDA|inferred from high throughput direct assay
high throughput expression pattern evidence	ECO:0007006	A type of high throughput evidence derived from the high throughput characterization of gene expression.	
high throughput expression pattern evidence used in manual assertion	ECO:0007007	A type of high throughput evidence that is used in a manual assertion derived from the high throughput characterization of gene expression.	HEP|inferred from high throughput expression pattern
radioligand binding assay evidence	ECO:0007008	A type of protein binding evidence in which radioactive ligands are used to measure receptor-ligand interactions, such as in determining selectivity for a particular ligand.	competitive binding assay evidence|radioactive ligand binding assay evidence|radiometric ligand-binding assay evidence
radioligand binding assay evidence used in manual assertion	ECO:0007009	A type of radioligand binding assay evidence that is used in a manual assertion.	competitive binding assay evidence|radioactive ligand binding assay evidence
combinatorial experimental and author inference evidence	ECO:0007011	A type of combinatorial evidence in which the author draws a conclusion based on a combination of prior scientific background knowledge and evidence from one or more experiments.	combinatorial evidence from author knowledge and experimental evidence
combinatorial experimental and curator inference evidence	ECO:0007012	A type of combinatorial evidence in which the curator draws a conclusion based on a combination of prior scientific background knowledge and evidence from one or more experiments.	combinatorial evidence from curator knowledge and experimental evidence
combinatorial experimental and author inference evidence used in manual assertion	ECO:0007013	A type of combinatorial evidence from author knowledge and experimental evidence that is used in a manual assertion.	combinatorial evidence from author knowledge and experimental evidence used in manual assertion
combinatorial experimental and curator inference evidence used in manual assertion	ECO:0007014	A type of combinatorial evidence from curator knowledge and experimental evidence that is used in a manual assertion.	combinatorial evidence from curator knowledge and experimental evidence used in manual assertion
voltammetry evidence	ECO:0007015	A type of substance quantification evidence where an electrical gradient potential is applied to analyze an analyte of interest, resulting in a measurement amount of electrical current across the potential range applied.	
voltammetry evidence used in manual assertion	ECO:0007016	A type of voltammetry evidence that is used in a manual assertion.	
photoconversion evidence	ECO:0007017	A type of fluorescence evidence where a molecule tagged with a fluorescent protein is exposed to ultraviolet or blue light to shift the spectral emission properties for visualization.	
photoconversion evidence used in manual assertion	ECO:0007018	A type of photoconversion evidence that is used in a manual assertion.	
agglutination test evidence	ECO:0007019	A type of immunological assay evidence that involves observation of visible clumping of antibody and antigen into a complex.	agglutination assay evidence
agglutination test evidence used in manual assertion	ECO:0007020	A type of agglutination test evidence that is used in a manual assertion.	agglutination assay evidence
slide agglutination test evidence	ECO:0007021	A type of agglutination test evidence that involves observaiton of visible clumping of antibody and antigen into a complex on a slide.	
slide agglutination test evidence used in manual assertion	ECO:0007022	A type of slide agglutination test evidence that is used in a manual assertion.	
direct Coombs test evidence	ECO:0007023	A type of agglutination test evidence that results in detection of nonagglutinating antibodies or complement proteins on red blood cells in vivo.	direct antihuman globulin test (DAT)
direct Coombs test evidence used in manual assertion	ECO:0007024	A type of direct Coombs test evidence that is used in a manual assertion.	direct antihuman globulin test (DAT)
indirect Coombs test evidence	ECO:0007025	A type of agglutination test evidence that results in screening of antibodies against red blood cell antigens (other than the A and B antigens) that are unbound in a patient's serum in vitro.	indirect antiglobulin test (IAT)
indirect Coombs test evidence used in manual assertion	ECO:0007026	A type of indirect Coombs test evidence that is used in a manual assertion.	indirect antiglobulin test (IAT)
direct hemagglutination assay evidence	ECO:0007027	A type of agglutination test evidence where some bacteria and viruses cross-link red blood cells and clump together.	
direct hemagglutination assay evidence used in manual assertion	ECO:0007028	A type of direct hemagglutination assay evidence that is used in a manual assertion.	
viral hemagglutination inhibition assay evidence	ECO:0007029	A type of agglutination test evidence where antiviral antibodies in a patient's serum or in a lab-produced antiserum neutralize the virus and block it from agglutinating the red blood cells.	
viral hemagglutination inhibition assay evidence used in manual assertion	ECO:0007030	A type of viral hemagglutination inhibition assay evidence that is used in a manual assertion.	
compement fixation assay evidence	ECO:0007031	A type of immunological assay evidence that results in the detection of presence of specific antibodies in the patient's serum based on the use of complement, a biologically labile serum factor.	
compement fixation assay evidence used in manual assertion	ECO:0007032	A type of compement fixation assay evidence that is used in a manual assertion.	
neutralization test assay evidence	ECO:0007033	A type of immunogical assay evidence that results in detection of specific neutralizing antibodies in a sample.	
neutralization test assay evidence used in manual assertion	ECO:0007034	A type of neutralization test assay evidence that is used in a manual assertion.	
copper transport assay evidence	ECO:0007035	A type of transport assay evidence where the rate of copper transport is estimated.	
copper transport assay evidence used in manual assertion	ECO:0007036	A type of copper transport assay evidence that is used in a manual assertion.	
5-cyano-2,3-ditolyl tetrazolium chloride staining evidence	ECO:0007037	A type of staining evidence that involves the use of the redox dye 5-cyano-2,3-ditolyl tetrazolium chloride to evaluate the respiratory activity of cells.	CTC staining
5-cyano-2,3-ditolyl tetrazolium chloride staining evidence used in manual assertion	ECO:0007038	A type of 5-cyano-2,3-ditolyl tetrazolium chloride staining evidence that is used in a manual assertion.	CTC staining
plaque assay evidence	ECO:0007039	A type of cell growth assay evidence resulting in direct quantification of infectious virons and antiviral substances through the counting of discrete plaques (infectious units and cellular dead zones) in cell culture.	
plaque assay evidence used in manual assertion	ECO:0007040	A type of plaque assay evidence that is used in a manual assertion.	
epifluorescence microscopy evidence	ECO:0007041	A type of microscopy evidence where the light source is mounted above the specimen and the excitation light passes through the microscope objective lens on its way toward the specimen.	
epifluorescence microscopy evidence used in manual assertion	ECO:0007042	A type of epifluorescence microscopy evidence that is used in a manual assertion.	
transmission electron microscopy evidence	ECO:0007043	A type of electron microscopy evidence where a beam of electrons are transmitted through an ultra thin specimen forming an image which is magnified and focused onto an imaging device, such as a fluorescent screen, on a layer of photographic film, or to be detected by a sensor such as a CCD camera.	conventional transmission electron microscopy(CTEM)|TEM
transmission electron microscopy evidence used in manual assertion	ECO:0007044	A type of transmission electron microscopy evidence that is used in a manual assertion.	conventional transmission electron microscopy(CTEM)|TEM
scanning electron microscopy evidence	ECO:0007045	A type of electron microscopy evidence where a focused beam of high-energy electrons is used to generate a variety of signals at the surface of solid specimens.	
scanning electron microscopy evidence used in manual assertion	ECO:0007046	A type of scanning electron microscopy evidence that is used in a manual assertion.	
time-lapsed microscopy evidence	ECO:0007047	A type of microscopy evidence where a serial images are taken at regular time points to capture the dynamics of what is being observed.	
time-lapsed microscopy evidence used in manual assertion	ECO:0007048	A type of time-lapsed microscopy evidence that is used in a manual assertion.	
phase contrast microscopy evidence	ECO:0007049	A type of microscopy evidence where a transparent specimen is illuminated with visible light and small phase shifts in the light passing through the specimen are used to produce an image.	
phase contrast microscopy evidence used in manual assertion	ECO:0007050	A type of phase contrast microscopy evidence that is used in a manual assertion.	
transmitted light brightfied mircoscopy evidence	ECO:0007051	A type of microscopy evidence where a sample is illuminated with transmitted white light from below and observed from above.	
transmitted light brightfied mircoscopy evidence used in manual assertion	ECO:0007052	A type of transmitted light brightfied mircoscopy evidence that is used in a manual assertion.	
koehler illumination microscopy evidence	ECO:0007053	A type of microscopy evidence that results in a bright image without glare and minimum heating of the specimen by employing both field and an aperture iris diaphragm for illumination.	
koehler illumination microscopy evidence used in manual assertion	ECO:0007054	A type of koehler illumination microscopy evidence that is used in a manual assertion.	
differential interference contrast microscopy evidence	ECO:0007055	A type of microscopy evidence that results in visualization of living cells and transparent specimens by taking advantage of differences in the light refraction of different parts of the specimen.	DIC microscopy|NIC microscopy|Nomarski interference contrast microscopy|Nomarski microscopy
differential interference contrast microscopy evidence used in manual assertion	ECO:0007056	A type of differential interference contrast microscopy evidence that is used in a manual assertion.	DIC microscopy|NIC microscopy|Nomarski interference contrast microscopy|Nomarski microscopy
extended field laser confocal microscopy evidence	ECO:0007057	A type of confocal microscopy evidence that results in creation of a continuous confocal multi-colour mosaic from thousands of individually captured images.	EFLCM
extended field laser confocal microscopy evidence used in manual assertion	ECO:0007058	A type of extended field laser confocal microscopy evidence that is used in a manual assertion.	EFLCM
confocal laser scanning microscopy evidence	ECO:0007059	A type of confocal microscopy evidence that results in an image that is built up pixel-by-pixel by collecting the emitted photons from the fluorophores in the sample by passing a laser beam through a light source aperture which is then focused by an objective lens into a small area on the surface of the sample.\n	CLSM|confocal laser scanning fluorescence microscopy|confocal-laser scanning microscopy|fluorescence confocal scanning laser microscopy|LSCM|scanning confocal fluorescence microscopy
confocal laser scanning microscopy evidence used in manual assertion	ECO:0007060	A type of confocal laser scanning microscopy evidence that is used in a manual assertion.	CLSM|confocal laser scanning fluorescence microscopy|confocal-laser scanning microscopy|fluorescence confocal scanning laser microscopy|LSCM|scanning confocal fluorescence microscopy
light scattering assay evidence	ECO:0007061	A type of direct assay evidence derived from determining the properties of particles in a solution such as size, shape, structure, molecular weight, diffusion and interaction strength by illuminating the sample with a laser beam and the scattered intensity is probed at a certain angle by a detector.	
light scattering assay evidence used in manual assertion	ECO:0007062	A type of light scattering assay evidence that is used in a manual assertion.	
dynamic light scattering assay evidence	ECO:0007063	A type of light scattering assay evidence derived by analyzing the fluctuations in the internsity of the scattered light by the particles in motion.	Photon Correlation Spectroscopy|Quasi-Elastic Light Scattering
dynamic light scattering assay evidence used in manual assertion	ECO:0007064	A type of dynamic light scattering assay evidence that is used in a manual assertion.	Photon Correlation Spectroscopy|Quasi-Elastic Light Scattering
static light scattering assay evidence	ECO:0007065	A type of light scattering assay evidence derived by measuring the average intensity of scattered light by the particles at multiple angles.	Rayleigh scattering
static light scattering assay evidence used in manual assertion	ECO:0007066	A type of static light scattering assay evidence that is used in a manual assertion.	Rayleigh scattering
colony papillation assay phenotypic evidence	ECO:0007067	A type of colony morphology phenotypic evidence resulting from the formation of papillae (microcolonies) that protrude outwards from the main colony by mutant cells.	colony papillation assay evidence
colony papillation assay phenotypic evidence used in manual assertion	ECO:0007068	A type of colony papillation assay phenotypic evidence that is used in a manual assertion.	colony papillation assay evidence used in manual assertion
crystal violet staining evidence	ECO:0007069	A type of staining evidence that is derived from the use of gentian violet as a general biological stain and an acid-base indicator.	gentian violet|hexamethyl pararosaniline chloride|methyl violet 10B
crystal violet staining evidence used in manual assertion	ECO:0007070	A type of crystal violet staining evidence that is used in a manual assertion.	gentian violet|hexamethyl pararosaniline chloride|methyl violet 10B
flow cell biofilm assay evidence	ECO:0007071	A type of biofilm formation assay evidence derived from in vitro cultivation and evaluation of bacterial biofilms under hydrodynamic conditions of flow.	
flow cell biofilm assay evidence used in manual assertion	ECO:0007072	A type of flow cell biofilm assay evidence that is used in a manual assertion.	
bacterial 2-hybrid assay evidence	ECO:0007073	A type of hybrid interaction evidence that involves the detection of protein-protein interaction by fusing the protein target (the "bait") to RNA polymerase and fusing protein or peptide library to be analyzed (the "prey") to DNA-binding domain.	
bacterial 2-hybrid assay evidence used in manual assertion	ECO:0007074	A type of bacterial 2-hybrid assay evidence that is used in a manual assertion.	
phenomic profiling assay evidence	ECO:0007075	A type of experimental phenotypic evidence that results from the comparison of phenotype profiles (the physical and biochemical traits of organisms in particular environments) across multiple strains; that is, a meta-analysis of a set of phenotypic patterns from many tests in response to a series of changing genetic and/or environmental factors.	
phenomic profiling assay evidence used in manual assertion	ECO:0007076	A type of phenomic profiling assay evidence that is used in a manual assertion.	
colony morphology phenotypic evidence	ECO:0007077	A type of experimental phenotypic evidence resulting from studying the physical characteristics of an assemblage of microorganisms growing on a solid surface such as the surface of an agar culture medium.	colony morphology evidence
colony morphology phenotypic evidence used in manual assertion	ECO:0007078	A type of colony morphology phenotypic evidence that is used in a manual assertion.	colony morphology evidence used in manual assertion
colony color phenotypic evidence	ECO:0007079	A type of colony morphology evidence resulting from studying the colony pigmentation.	colony color evidence|colony pigmentation
colony color phenotypic evidence used in manual assertion	ECO:0007080	A type of colony color phenotypic evidence that is used in a manual assertion.	colony color evidence used in manual assertion|colony pigmentation
colony size phenotypic evidence	ECO:0007081	A type of colony morphology phenotypic evidence resulting from measuring the area or diameter of the colony.	colony size evidence
colony size phenotypic evidence used in manual assertion	ECO:0007082	A type of colony size phenotypic evidence that is used in an manual assertion.	colony area phenotype evidence|colony diameter phenotype evidence|colony size evidence used in manual assertion
zone of inhibition evidence	ECO:0007083	A type of cell growth assay evidence resulting from assessing the sensitivity or resistance of bacteria or fungi to an antimicrobial agent or chemical by measuring the size of the zone of inhibition that results when the test organism is grown on a solid surface in the presence of the antimicrobial agent or chemical.	
zone of inhibition evidence used in manual assertion	ECO:0007084	A type of zone of inhibition evidence that is used in a manual assertion.	
Etest evidence	ECO:0007085	A type of zone of inhibition evidence resulting from testing the antimicrobial susceptibility by using predefined, continuous, and exponential gradient of antibiotic concentrations immobilized along a rectangular plastic test strip.	epsilometer test
Etest evidence used in manual assertion	ECO:0007086	A type of Etest evidence that is used in a manual assertion.	epsilometer test
ribosome profiling evidence	ECO:0007087	A type of expression pattern evidence in which translation is measured by the positions of ribosomes active in a cell, identified through deep sequencing of ribosome-protected mRNA fragments.	ribo-seq evidence|ribosome footprinting evidence|translation profiling|translatome profiling
ribosome profiling evidence used in manual assertion	ECO:0007088	A type of ribosome profiling evidence that is used in a manual assertion.	ribo-seq evidence|ribosome footprinting evidence
loss-of-function mutant phenotype evidence used in manual assertion	ECO:0007089	A type of loss-of-function mutant phenotype evidence that is used in a manual assertion.	
structural similarity evidence used in manual assertion	ECO:0007090	A type of structural similarity evidence that is used in a manual assertion.	
gain-of-function mutant phenotypic evidence used in manual assertion	ECO:0007092	A type of gain-of-function mutant phenotypic evidence that is used in a manual assertion.	gain-of-function mutant phenotype evidence used in manual assertion
voucher specimen phenotypic analysis evidence used in manual assertion	ECO:0007093	A type of voucher specimen phenotypic analysis evidence that is used in a manual assertion.	voucher specimen analysis evidence used in manual assertion
positional similarity evidence used in manual assertion	ECO:0007094	A type of positional similarity evidence that is used in a manual assertion.	
quantitative trait analysis evidence used in manual assertion	ECO:0007095	A type of quantitative trait analysis evidence that is used in a manual assertion.	
compositional similarity evidence used in manual assertion	ECO:0007096	A type of compositional similarity evidence that is used in a manual assertion.	
developmental similarity evidence used in manual assertion	ECO:0007097	A type of developmental similarity evidence that is used in a manual assertion.	
morphological similarity evidence used in manual assertion	ECO:0007098	A type of morphological similarity evidence that is used in a manual assertion.	
gene expression similarity evidence used in manual assertion	ECO:0007099	A type of gene expression similarity evidence that is used in a manual assertion.	
methylation-specific polymerase chain reaction evidence used in manual assertion	ECO:0007100	A type of methylation-specific polymerase chain reaction evidence that is used in a manual assertion.	
southern hybridization evidence used in manual assertion	ECO:0007101	A type of southern hybridization evidence that is used in a manual assertion.	
intermethylated site amplification evidence used in manual assertion	ECO:0007102	A type of intermethylated site amplification evidence that is used in a manual assertion.	
epitope-tagged protein immunolocalization evidence used in manual assertion	ECO:0007103	A type of epitope-tagged protein immunolocalization evidence that is used in a manual assertion.	
co-fractionation evidence used in manual assertion	ECO:0007104	A type of co-fractionation evidence that is used in a manual assertion.	
green fluorescent protein fusion protein localization evidence used in manual assertion	ECO:0007106	A type of green fluorescent protein fusion protein localization evidence that is used in a manual assertion.	
yellow fluorescent protein fusion protein localization evidence used in manual assertion	ECO:0007107	A type of yellow fluorescent protein fusion protein localization evidence that is used in a manual assertion.	
beta-glucuronidase fusion protein localization evidence used in manual assertion	ECO:0007108	A type of beta-glucuronidase fusion protein localization evidence that is used in a manual assertion.	
beta-galactosidase fusion protein localization evidence used in manual assertion	ECO:0007109	A type of beta-galactosidase fusion protein localization evidence that is used in a manual assertion.	
thin layer chromatography evidence used in manual assertion	ECO:0007110	A type of thin layer chromatography evidence that is used in a manual assertion.	
in vitro recombinant protein transcription reconstitution assay evidence used in manual assertion	ECO:0007111	A type of in vitro recombinant protein transcription reconstitution assay evidence that is used in a manual assertion.	
protein separation followed by direct sequencing evidence used in manual assertion	ECO:0007112	A type of protein separation followed by direct sequencing evidence that is used in a manual assertion.	
protein separation followed by fragment identification evidence used in manual assertion	ECO:0007113	A type of protein separation followed by fragment identification evidence that is used in a manual assertion.	
heterologous system uptake evidence used in manual assertion	ECO:0007114	A type of heterologous system uptake evidence that is used in a manual assertion.	
two-electrode voltage clamp recording evidence used in manual assertion	ECO:0007115	A type of two-electrode voltage clamp recording evidence that is used in a manual assertion.	
biochemical trait analysis evidence used in manual assertion	ECO:0007116	A type of biochemical trait analysis evidence that is used in a manual assertion.	
mutant physiological response evidence used in manual assertion	ECO:0007117	A type of mutant physiological response evidence that is used in a manual assertion.	
mutant visible phenotype evidence used in manual assertion	ECO:0007118	A type of mutant visible phenotype evidence that is used in a manual assertion.	
in vivo assay evidence used in manual assertion	ECO:0007119	A type of in vivo assay evidence that is used in a manual assertion.	
animal model system study evidence used in manual assertion	ECO:0007120	A type of animal model system study evidence that is used in a manual assertion.	
clinical study evidence used in manual assertion	ECO:0007121	A type of clinical study evidence that is used in a manual assertion.	
in vitro assay evidence used in manual assertion	ECO:0007122	A type of in vitro assay evidence that is used in a manual assertion.	
enzyme inhibition evidence used in manual assertion	ECO:0007123	A type of enzyme inhibition evidence that is used in a manual assertion.	
Illumina sequencing evidence used in manual assertion	ECO:0007125	A type of Illumina sequencing evidence that is used in a manual assertion.	
454 pyrosequencing evidence used in manual assertion	ECO:0007126	A type of 454 pyrosequencing evidence that is used in a manual assertion.	
SOLiD sequencing evidence used in manual assertion	ECO:0007127	A type of SOLiD sequencing evidence that is used in a manual assertion.	
chain termination sequencing evidence used in manual assertion	ECO:0007128	A type of chain termination sequencing evidence that is used in a manual assertion.	
chromatin immunoprecipitation-qPCR evidence used in manual assertion	ECO:0007129	A type of chromatin immunoprecipitation-qPCR evidence that is used in a manual assertion.	
4C evidence used in manual assertion	ECO:0007130	A type of 4C evidence that is used in a manual assertion.	circularized chromosome conformation capture evidence used in manual assertion
5C evidence used in manual assertion	ECO:0007131	A type of 5C evidence that is used in a manual assertion.	carbon-copy chromosome conformation capture evidence used in manual assertion
3C-qPCR evidence used in manual assertion	ECO:0007133	A type of 3C-qPCR evidence that is used in a manual assertion.	chromosome conformation capture-qPCR evidence used in manual assertion
Hi-C evidence used in manual assertion	ECO:0007134	A type of Hi-C evidence that is used in a manual assertion.	
3C-seq evidence used in manual assertion	ECO:0007135	A type of 3C-seq evidence that is used in a manual assertion.	chromosome conformation capture sequencing evidence used in manual assertion
environmental perturbation phenotypic evidence used in manual assertion	ECO:0007136	A type of environmental perturbation phenotypic evidence that is used in a manual assertion.	environmental perturbation evidence used in manual assertion
tissue ablation phenotypic evidence used in manual assertion	ECO:0007137	A type of tissue ablation phenotypic evidence that is used in a manual assertion.	tissue ablation evidence used in manual assertion
tissue grafting phenotypic evidence used in manual assertion	ECO:0007138	A type of tissue grafting phenotypic evidence that is used in a manual assertion.	tissue grafting evidence used in manual assertion
cytochalasin experiment evidence used in manual assertion	ECO:0007141	A type of cytochalasin experiment evidence that is used in a manual assertion.	
green fluorescent protein immunolocalization evidence used in manual assertion	ECO:0007142	A type of green fluorescent protein immunolocalization evidence that is used in a manual assertion.	
beta-galactosidase protein immunolocalization evidence used in manual assertion	ECO:0007143	A type of beta-galactosidase protein immunolocalization evidence that is used in a manual assertion.	
cap analysis of gene expression evidence used in manual assertion	ECO:0007144	A type of cap analysis of gene expression evidence that is used in a manual assertion.	
nano-cap analysis of gene expression evidence used in manual assertion	ECO:0007145	A type of nano-cap analysis of gene expression evidence that is used in a manual assertion.	
particle size and count assay evidence used in manual assertion	ECO:0007146	A type of particle size and count assay evidence that is used in a manual assertion.	
competitive growth assay evidence used in manual assertion	ECO:0007147	A type of competitive growth assay evidence that is used in a manual assertion.	
pulsed-field gel electrophoresis evidence used in manual assertion	ECO:0007148	A type of pulsed-field gel electrophoresis evidence that is used in a manual assertion.	
two-dimensional agarose gel electrophoresis evidence used in manual assertion	ECO:0007149	A type of two-dimensional agarose gel electrophoresis evidence that is used in a manual assertion.	
plasmid maintenance assay evidence used in manual assertion	ECO:0007150	A type of plasmid maintenance assay evidence that is used in a manual assertion.	
specific protein inhibition by antibody evidence used in manual assertion	ECO:0007151	A type of specific protein inhibition by antibody evidence that is used in a manual assertion.	
single exon transcript confirmation via alignment evidence used in manual assertion	ECO:0007152	A type of single exon transcript confirmation via alignment evidence that is used in a manual assertion.	
phylogenetic distribution evidence used in manual assertion	ECO:0007153	A type of phylogenetic distribution evidence that is used in a manual assertion.	
differential geneset expression evidence from microarray experiment (GSEA, Fisher-exact) used in manual assertion	ECO:0007154	A type of differential geneset expression evidence from microarray experiment (GSEA, Fisher-exact) that is used in a manual assertion.	
differential geneset expression evidence from RNA-seq experiment (GSEA, Fisher-exact) used in manual assertion	ECO:0007155	A type of differential geneset expression evidence from RNA-seq experiment (GSEA, Fisher-exact) that is used in a manual assertion.	
biological target-disease association via drug evidence used in manual assertion	ECO:0007156	A type of biological target-disease association via drug that is used in a manual assertion.	
cell staining evidence used in manual assertion	ECO:0007157	A type of cell staining evidence that is used in a manual assertion.	
visual sequence inspection evidence used in manual assertion	ECO:0007158	A type of visual sequence inspection evidence that is used in a manual assertion.	
ATP bioluminescence assay evidence used in manual assertion	ECO:0007159	A type of ATP bioluminescence assay evidence that is used in a manual assertion.	
missense mutation pohenotypic evidence used in manual assertion	ECO:0007160	A type of missense mutation phenotypic evidence that is used in a manual assertion.	missense mutation evidence used in manual assertion
nonsense mutation phenotypic evidence used in manual assertion	ECO:0007161	A type of nonsense mutation phenotypic evidence that is used in a manual assertion.	nonsense mutation evidence used in manual assertion
silent mutation evidence used in manual assertion	ECO:0007162	A type of silent mutation evidence that is used in a manual assertion.	
insertion mutation phenotypic evidence used in manual assertion	ECO:0007163	A type of insertion mutation phenotypic evidence that is used in a manual assertion.	insertion mutation evidence used in manual assertion
duplication mutation evidence used in manual assertion	ECO:0007164	A type of duplication mutation evidence that is used in a manual assertion.	
frameshift mutation phenotypic evidence used in manual assertion	ECO:0007165	A type of frameshift mutation phenotypic evidence that is used in a manual assertion.	frameshift mutation evidence used in manual assertion
repeat expansion mutation phenotypic evidence used in manual assertion	ECO:0007166	A type of repeat expansion mutation phenotypic evidence that is used in a manual assertion.	repeat expansion mutation evidence used in manual assertion
splice site mutation phenotypic evidence used in manual assertion	ECO:0007167	A type of splice site mutation phenotypic evidence that is used in a manual assertion.	splice site mutation evidence used in manual assertion
translocation mutation phenotypic evidence used in manual assertion	ECO:0007168	A type of translocation mutation phenotypic evidence that is used in a manual assertion.	translocation mutation evidence used in manual assertion
in-gel protein kinase assay evidence used in manual assertion	ECO:0007169	A type of in-gel protein kinase assay evidence that is used in a manual assertion.	
macroscopic current trace evidence used in manual assertion	ECO:0007170	A type of macroscopic current trace evidence that is used in a manual assertion.	
current density evidence used in manual assertion	ECO:0007171	A type of current density evidence that is used in a manual assertion.	
sustained current evidence used in manual assertion	ECO:0007172	A type of sustained current evidence that is used in a manual assertion.	
use dependence of inactivation evidence used in manual assertion	ECO:0007173	A type of use dependence of inactivation evidence that is used in a manual assertion.	
current clamp recording evidence used in manual assertion	ECO:0007174	A type of current clamp recording evidence that is used in a manual assertion.	
whole-cell voltage clamp recording evidence used in manual assertion	ECO:0007175	A type of whole-cell voltage clamp recording evidence that is used in a manual assertion.	
cell-attached single-channel recording evidence used in manual assertion	ECO:0007176	A type of cell-attached single-channel recording evidence that is used in a manual assertion.	
cell-detached inside-out single-channel recording evidence used in manual assertion	ECO:0007177	A type of cell-detached inside-out single-channel recording evidence that is used in a manual assertion.	
reconstituted bilayer single-channel patch recording evidence used in manual assertion	ECO:0007178	A type of reconstituted bilayer single-channel patch recording evidence that is used in a manual assertion.	
electroencephalography recording evidence used in manual assertion	ECO:0007179	A type of electroencephalography recording evidence that is used in a manual assertion.	
